# Fake Entries for Testing!!!!
# counter    z          M1450      p         
        1    4.742      -19.900    0.000000
        2    4.742      -19.850    0.000000
        3    4.742      -19.800    0.000000
        4    4.742      -19.750    0.000000
        5    4.742      -19.700    0.000000
        6    4.742      -19.650    0.000000
        7    4.742      -19.600    0.000000
        8    4.742      -19.550    0.000000
        9    4.742      -19.500    0.000000
       10    4.742      -19.450    0.000000
       11    4.742      -19.400    0.000000
       12    4.742      -19.350    0.000000
       13    4.742      -19.300    0.000000
       14    4.742      -19.250    0.000000
       15    4.742      -19.200    0.000000
       16    4.742      -19.150    0.000000
       17    4.742      -19.100    0.000000
       18    4.742      -19.050    0.000000
       19    4.742      -19.000    0.000000
       20    4.742      -18.950    0.000000
       21    4.792      -19.900    0.000000
       22    4.792      -19.850    0.000000
       23    4.792      -19.800    0.000000
       24    4.792      -19.750    0.000000
       25    4.792      -19.700    0.000000
       26    4.792      -19.650    0.000000
       27    4.792      -19.600    0.000000
       28    4.792      -19.550    0.000000
       29    4.792      -19.500    0.000000
       30    4.792      -19.450    0.000000
       31    4.792      -19.400    0.000000
       32    4.792      -19.350    0.000000
       33    4.792      -19.300    0.000000
       34    4.792      -19.250    0.000000
       35    4.792      -19.200    0.000000
       36    4.792      -19.150    0.000000
       37    4.792      -19.100    0.000000
       38    4.792      -19.050    0.000000
       39    4.792      -19.000    0.000000
       40    4.792      -18.950    0.000000
       41    4.842      -19.900    0.000000
       42    4.842      -19.850    0.000000
       43    4.842      -19.800    0.000000
       44    4.842      -19.750    0.000000
       45    4.842      -19.700    0.000000
       46    4.842      -19.650    0.000000
       47    4.842      -19.600    0.000000
       48    4.842      -19.550    0.000000
       49    4.842      -19.500    0.000000
       50    4.842      -19.450    0.000000
       51    4.842      -19.400    0.000000
       52    4.842      -19.350    0.000000
       53    4.842      -19.300    0.000000
       54    4.842      -19.250    0.000000
       55    4.842      -19.200    0.000000
       56    4.842      -19.150    0.000000
       57    4.842      -19.100    0.000000
       58    4.842      -19.050    0.000000
       59    4.842      -19.000    0.000000
       60    4.842      -18.950    0.000000
       61    4.892      -19.900    0.000000
       62    4.892      -19.850    0.000000
       63    4.892      -19.800    0.000000
       64    4.892      -19.750    0.000000
       65    4.892      -19.700    0.000000
       66    4.892      -19.650    0.000000
       67    4.892      -19.600    0.000000
       68    4.892      -19.550    0.000000
       69    4.892      -19.500    0.000000
       70    4.892      -19.450    0.000000
       71    4.892      -19.400    0.000000
       72    4.892      -19.350    0.000000
       73    4.892      -19.300    0.000000
       74    4.892      -19.250    0.000000
       75    4.892      -19.200    0.000000
       76    4.892      -19.150    0.000000
       77    4.892      -19.100    0.000000
       78    4.892      -19.050    0.000000
       79    4.892      -19.000    0.000000
       80    4.892      -18.950    0.000000
       81    4.942      -19.900    0.000000
       82    4.942      -19.850    0.000000
       83    4.942      -19.800    0.000000
       84    4.942      -19.750    0.000000
