# Fake Entries for Testing!!!!
# Just the points and its neighbours have p = 1
# counter    z          M1450      p         
        1    3.380      -32.950    0.000000
        2    3.380      -32.900    0.000000
        3    3.380      -32.850    0.000000
        4    3.380      -32.800    0.000000
        5    3.380      -32.750    0.000000
        6    3.380      -32.700    0.000000
        7    3.380      -32.650    0.000000
        8    3.380      -32.600    0.000000
        9    3.380      -32.550    0.000000
       10    3.380      -32.500    0.000000
       11    3.380      -32.450    0.000000
       12    3.380      -32.400    0.000000
       13    3.380      -32.350    0.000000
       14    3.380      -32.300    0.000000
       15    3.380      -32.250    0.000000
       16    3.380      -32.200    0.000000
       17    3.380      -32.150    0.000000
       18    3.380      -32.100    0.000000
       19    3.380      -32.050    0.000000
       20    3.380      -32.000    0.000000
       21    3.380      -31.950    0.000000
       22    3.380      -31.900    0.000000
       23    3.380      -31.850    0.000000
       24    3.380      -31.800    0.000000
       25    3.380      -31.750    0.000000
       26    3.380      -31.700    0.000000
       27    3.380      -31.650    0.000000
       28    3.380      -31.600    0.000000
       29    3.380      -31.550    0.000000
       30    3.380      -31.500    0.000000
       31    3.380      -31.450    0.000000
       32    3.380      -31.400    0.000000
       33    3.380      -31.350    0.000000
       34    3.380      -31.300    0.000000
       35    3.380      -31.250    0.000000
       36    3.380      -31.200    0.000000
       37    3.380      -31.150    0.000000
       38    3.380      -31.100    0.000000
       39    3.380      -31.050    0.000000
       40    3.380      -31.000    0.000000
       41    3.380      -30.950    0.000000
       42    3.380      -30.900    0.000000
       43    3.380      -30.850    0.000000
       44    3.380      -30.800    0.000000
       45    3.380      -30.750    0.000000
       46    3.380      -30.700    0.000000
       47    3.380      -30.650    0.000000
       48    3.380      -30.600    0.000000
       49    3.380      -30.550    0.000000
       50    3.380      -30.500    0.000000
       51    3.380      -30.450    0.000000
       52    3.380      -30.400    0.000000
       53    3.380      -30.350    0.000000
       54    3.380      -30.300    0.000000
       55    3.380      -30.250    0.000000
       56    3.380      -30.200    0.000000
       57    3.380      -30.150    0.000000
       58    3.380      -30.100    0.000000
       59    3.380      -30.050    0.000000
       60    3.380      -30.000    0.000000
       61    3.380      -29.950    0.000000
       62    3.380      -29.900    0.000000
       63    3.380      -29.850    0.000000
       64    3.380      -29.800    0.000000
       65    3.380      -29.750    0.000000
       66    3.380      -29.700    0.000000
       67    3.380      -29.650    0.000000
       68    3.380      -29.600    0.000000
       69    3.380      -29.550    0.000000
       70    3.380      -29.500    0.000000
       71    3.380      -29.450    0.000000
       72    3.380      -29.400    0.000000
       73    3.380      -29.350    0.000000
       74    3.380      -29.300    0.000000
       75    3.380      -29.250    0.000000
       76    3.380      -29.200    0.000000
       77    3.380      -29.150    0.000000
       78    3.380      -29.100    0.000000
       79    3.380      -29.050    0.000000
       80    3.380      -29.000    0.000000
       81    3.380      -28.950    0.000000
       82    3.380      -28.900    0.000000
       83    3.380      -28.850    0.000000
       84    3.380      -28.800    0.000000
       85    3.380      -28.750    0.000000
       86    3.380      -28.700    0.000000
       87    3.430      -32.950    0.000000
       88    3.430      -32.900    0.000000
       89    3.430      -32.850    0.000000
       90    3.430      -32.800    0.000000
       91    3.430      -32.750    0.000000
       92    3.430      -32.700    0.000000
       93    3.430      -32.650    0.000000
       94    3.430      -32.600    0.000000
       95    3.430      -32.550    0.000000
