# LRD Data from Krishna from Kocevski et al
# Reading columns from the file: ['Survey', 'ID', 'Z_best', 'M_UV - measured at rest-frame 1450A']
# Name                z     M1450
CEERS 260             7.93  -19.57
CEERS 941             7.42  -19.7
CEERS 965             5.95  -18.11
CEERS 1669            5.47  -20.21
CEERS 1914            6.49  -19.02
CEERS 1954            7.48  -18.86
CEERS 2285            5.86  -18.64
CEERS 2520            8.69  -20.39
CEERS 3153            5.23  -17.24
CEERS 4363            4.75  -17.01
CEERS 5208            5.92  -19.6
CEERS 5760            5.08  -16.98
CEERS 6126            5.29  -19.02
CEERS 6850            6.4   -19.64
CEERS 7000            4.69  -18.49
CEERS 7342            6.4   -19.47
CEERS 7872            8.36  -19.46
CEERS 7902            6.99  -20.14
CEERS 9083            6.62  -19.28
CEERS 10444           6.69  -19.84
CEERS 12833           7.16  -17.55
CEERS 13135           4.95  -18.06
CEERS 13318           5.28  -18.9
CEERS 13748           6.11  -18.23
CEERS 14949           5.68  -18.03
CEERS 15184           4.48  -19.33
CEERS 18646           3.4   -16.71
CEERS 18850           7.48  -19.34
CEERS 19578           5.29  -19.7
CEERS 19799           9.31  -19.94
CEERS 20320           5.79  -18.93
CEERS 20496           6.79  -18.72
CEERS 20777           5.29  -17.93
CEERS 21753           5.74  -18.08
CEERS 23931           10.21  -19.82
CEERS 24220           6.37  -18.55
CEERS 24253           6.23  -20.81
CEERS 24805           8.38  -17.98
CEERS 27202           7.3   -18.35
CEERS 29025           7.48  -21.47
CEERS 36181           7.96  -17.9
CEERS 36308           9.82  -18.18
CEERS 41493           6.43  -16.61
CEERS 53047           9.25  -18.37
CEERS 54909           8.2   -17.6
CEERS 54927           7.48  -17.9
CEERS 58069           7.48  -17.04
CEERS 65326           7.87  -17.91
CEERS 69459           5.67  -17.8
CEERS 80072           9.04  -17.09
CEERS 80438           8.44  -18.68
CEERS 81443           9.13  -19.04
CEERS 82815           5.62  -18.02
CEERS 88326           3.88  -16.34
CEERS 96811           5.2   -17.51
CEERS 99879           5.68  -17.62
CEERS 102791          9.04  -19.09
CEERS 107936          8.05  -17.81
CEERS 110480          6.91  -17.26
CEERS 110826          7.84  -17.56
CEERS 111399          6.13  -17.27
CEERS 111679          7     -17.06
CEERS 114801          5.11  -17.46
CEERS 124311          7.39  -16.98
NGDEEP 1868           4.45  -19.34
NGDEEP 2510           6.73  -18.94
NGDEEP 3027           6.04  -19.08
NGDEEP 4524           6.73  -19.7
NGDEEP 5091           8.89  -19.02
NGDEEP 7057           5.29  -17.91
NGDEEP 9888           8.29  -18.14
NGDEEP 11365          9.76  -16.31
NGDEEP 12355          4.45  -17.94
NGDEEP 16817          6.28  -15.92
JADES 430             6.79  -19.31
JADES 534             6.1   -18.15
JADES 903             5.05  -17.48
JADES 2632            5.98  -18.73
JADES 3856            7.33  -18.28
JADES 4454            6.34  -18.86
JADES 4461            7.51  -18.02
JADES 6698            7.24  -17.89
JADES 6923            4.99  -16.56
JADES 8103            7.51  -16.88
JADES 8275            5.59  -18.54
JADES 8646            4.15  -17.23
JADES 10491           2.89  -16.37
JADES 11027           4.87  -18.15
JADES 11125           4.63  -20.25
JADES 12068           5.92  -19.09
JADES 14445           6.16  -18.43
JADES 14655           7.33  -18.9
JADES 15457           6.43  -17.87
JADES 16024           4.69  -18.66
JADES 17724           4.36  -18.47
JADES 17876           5.29  -17.23
JADES 18065           8.14  -19.05
