# LRD Data from Krishna from Kocevski et al
# Survey: CEERS
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         3.40    -16.71  1.00000  0.024611  151  
  2         3.88    -16.34  1.00000  0.024611  151  
  3         4.48    -19.33  1.00000  0.024611  151  
  4         4.69    -18.49  1.00000  0.024611  151  
  5         4.75    -17.01  1.00000  0.024611  151  
  6         4.95    -18.06  1.00000  0.024611  151  
  7         5.08    -16.98  1.00000  0.024611  151  
  8         5.11    -17.46  1.00000  0.024611  151  
  9         5.20    -17.51  1.00000  0.024611  151  
  10        5.23    -17.24  1.00000  0.024611  151  
  11        5.28    -18.90  1.00000  0.024611  151  
  12        5.29    -19.70  1.00000  0.024611  151  
  13        5.29    -19.02  1.00000  0.024611  151  
  14        5.29    -17.93  1.00000  0.024611  151  
  15        5.47    -20.21  1.00000  0.024611  151  
  16        5.62    -18.02  1.00000  0.024611  151  
  17        5.67    -17.80  1.00000  0.024611  151  
  18        5.68    -18.03  1.00000  0.024611  151  
  19        5.68    -17.62  1.00000  0.024611  151  
  20        5.74    -18.08  1.00000  0.024611  151  
  21        5.79    -18.93  1.00000  0.024611  151  
  22        5.86    -18.64  1.00000  0.024611  151  
  23        5.92    -19.60  1.00000  0.024611  151  
  24        5.95    -18.11  1.00000  0.024611  151  
  25        6.11    -18.23  1.00000  0.024611  151  
  26        6.13    -17.27  1.00000  0.024611  151  
  27        6.23    -20.81  1.00000  0.024611  151  
  28        6.37    -18.55  1.00000  0.024611  151  
  29        6.40    -19.64  1.00000  0.024611  151  
  30        6.40    -19.47  1.00000  0.024611  151  
  31        6.43    -16.61  1.00000  0.024611  151  
  32        6.49    -19.02  1.00000  0.024611  151  
  33        6.62    -19.28  1.00000  0.024611  151  
  34        6.69    -19.84  1.00000  0.024611  151  
  35        6.79    -18.72  1.00000  0.024611  151  
  36        6.91    -17.26  1.00000  0.024611  151  
  37        6.99    -20.14  1.00000  0.024611  151  
  38        7.00    -17.06  1.00000  0.024611  151  
  39        7.16    -17.55  1.00000  0.024611  151  
  40        7.30    -18.35  1.00000  0.024611  151  
  41        7.39    -16.98  1.00000  0.024611  151  
  42        7.42    -19.70  1.00000  0.024611  151  
  43        7.48    -21.47  1.00000  0.024611  151  
  44        7.48    -19.34  1.00000  0.024611  151  
  45        7.48    -18.86  1.00000  0.024611  151  
  46        7.48    -17.90  1.00000  0.024611  151  
  47        7.48    -17.04  1.00000  0.024611  151  
  48        7.84    -17.56  1.00000  0.024611  151  
  49        7.87    -17.91  1.00000  0.024611  151  
  50        7.93    -19.57  1.00000  0.024611  151  
  51        7.96    -17.90  1.00000  0.024611  151  
  52        8.05    -17.81  1.00000  0.024611  151  
  53        8.20    -17.60  1.00000  0.024611  151  
  54        8.36    -19.46  1.00000  0.024611  151  
  55        8.38    -17.98  1.00000  0.024611  151  
  56        8.44    -18.68  1.00000  0.024611  151  
  57        8.69    -20.39  1.00000  0.024611  151  
  58        9.04    -19.09  1.00000  0.024611  151  
  59        9.04    -17.09  1.00000  0.024611  151  
  60        9.13    -19.04  1.00000  0.024611  151  
  61        9.25    -18.37  1.00000  0.024611  151  
  62        9.31    -19.94  1.00000  0.024611  151  
  63        9.82    -18.18  1.00000  0.024611  151  
  64        10.21   -19.82  1.00000  0.024611  151  
