# LRD Data from Krishna from Kocevski et al
# Survey: CEERS
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  1         2.40    -22.47  1.00000
  2         2.40    -22.42  1.00000
  3         2.40    -22.37  1.00000
  4         2.40    -22.32  1.00000
  5         2.40    -22.27  1.00000
  6         2.40    -22.22  1.00000
  7         2.40    -22.17  1.00000
  8         2.40    -22.12  1.00000
  9         2.40    -22.07  1.00000
  10        2.40    -22.02  1.00000
  11        2.40    -21.97  1.00000
  12        2.40    -21.92  1.00000
  13        2.40    -21.87  1.00000
  14        2.40    -21.82  1.00000
  15        2.40    -21.77  1.00000
  16        2.40    -21.72  1.00000
  17        2.40    -21.67  1.00000
  18        2.40    -21.62  1.00000
  19        2.40    -21.57  1.00000
  20        2.40    -21.52  1.00000
  21        2.40    -21.47  1.00000
  22        2.40    -21.42  1.00000
  23        2.40    -21.37  1.00000
  24        2.40    -21.32  1.00000
  25        2.40    -21.27  1.00000
  26        2.40    -21.22  1.00000
  27        2.40    -21.17  1.00000
  28        2.40    -21.12  1.00000
  29        2.40    -21.07  1.00000
  30        2.40    -21.02  1.00000
  31        2.40    -20.97  1.00000
  32        2.40    -20.92  1.00000
  33        2.40    -20.87  1.00000
  34        2.40    -20.82  1.00000
  35        2.40    -20.77  1.00000
  36        2.40    -20.72  1.00000
  37        2.40    -20.67  1.00000
  38        2.40    -20.62  1.00000
  39        2.40    -20.57  1.00000
  40        2.40    -20.52  1.00000
  41        2.40    -20.47  1.00000
  42        2.40    -20.42  1.00000
  43        2.40    -20.37  1.00000
  44        2.40    -20.32  1.00000
  45        2.40    -20.27  1.00000
  46        2.40    -20.22  1.00000
  47        2.40    -20.17  1.00000
  48        2.40    -20.12  1.00000
  49        2.40    -20.07  1.00000
  50        2.40    -20.02  1.00000
  51        2.40    -19.97  1.00000
  52        2.40    -19.92  1.00000
  53        2.40    -19.87  1.00000
  54        2.40    -19.82  1.00000
  55        2.40    -19.77  1.00000
  56        2.40    -19.72  1.00000
  57        2.40    -19.67  1.00000
  58        2.40    -19.62  1.00000
  59        2.40    -19.57  1.00000
  60        2.40    -19.52  1.00000
  61        2.40    -19.47  1.00000
  62        2.40    -19.42  1.00000
  63        2.40    -19.37  1.00000
  64        2.40    -19.32  1.00000
  65        2.40    -19.27  1.00000
  66        2.40    -19.22  1.00000
  67        2.40    -19.17  1.00000
  68        2.40    -19.12  1.00000
  69        2.40    -19.07  1.00000
  70        2.40    -19.02  1.00000
  71        2.40    -18.97  1.00000
