# LRD Data from Krishna from Kocevski et al
# Survey: JADES
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         2.89    -16.37  1.00000  0.017250  152  
  2         3.10    -18.59  1.00000  0.017250  152  
  3         3.40    -18.52  1.00000  0.017250  152  
  4         3.70    -17.71  1.00000  0.017250  152  
  5         4.15    -17.23  1.00000  0.017250  152  
  6         4.36    -18.47  1.00000  0.017250  152  
  7         4.51    -18.84  1.00000  0.017250  152  
  8         4.63    -20.25  1.00000  0.017250  152  
  9         4.69    -18.66  1.00000  0.017250  152  
  10        4.72    -17.31  1.00000  0.017250  152  
  11        4.87    -18.15  1.00000  0.017250  152  
  12        4.99    -16.56  1.00000  0.017250  152  
  13        5.05    -17.48  1.00000  0.017250  152  
  14        5.17    -16.67  1.00000  0.017250  152  
  15        5.23    -18.51  1.00000  0.017250  152  
  16        5.26    -19.60  1.00000  0.017250  152  
  17        5.29    -17.23  1.00000  0.017250  152  
  18        5.41    -18.19  1.00000  0.017250  152  
  19        5.44    -17.75  1.00000  0.017250  152  
  20        5.47    -18.57  1.00000  0.017250  152  
  21        5.59    -18.54  1.00000  0.017250  152  
  22        5.71    -17.56  1.00000  0.017250  152  
  23        5.71    -17.25  1.00000  0.017250  152  
  24        5.92    -19.09  1.00000  0.017250  152  
  25        5.98    -18.73  1.00000  0.017250  152  
  26        6.10    -18.15  1.00000  0.017250  152  
  27        6.16    -18.43  1.00000  0.017250  152  
  28        6.16    -17.07  1.00000  0.017250  152  
  29        6.34    -18.86  1.00000  0.017250  152  
  30        6.43    -17.87  1.00000  0.017250  152  
  31        6.79    -19.31  1.00000  0.017250  152  
  32        7.18    -17.27  1.00000  0.017250  152  
  33        7.24    -17.89  1.00000  0.017250  152  
  34        7.33    -18.90  1.00000  0.017250  152  
  35        7.33    -18.28  1.00000  0.017250  152  
  36        7.36    -18.52  1.00000  0.017250  152  
  37        7.48    -16.95  1.00000  0.017250  152  
  38        7.48    -16.63  1.00000  0.017250  152  
  39        7.51    -18.02  1.00000  0.017250  152  
  40        7.51    -16.88  1.00000  0.017250  152  
  41        7.93    -17.47  1.00000  0.017250  152  
  42        8.14    -19.05  1.00000  0.017250  152  
  43        8.20    -18.45  1.00000  0.017250  152  
  44        8.65    -16.83  1.00000  0.017250  152  
  45        10.48   -18.05  1.00000  0.017250  152  
  46        11.26   -17.53  1.00000  0.017250  152  
