# LRD Data from Krishna from Kocevski et al
# Survey: NGDEEP
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         4.45    -19.34  1.00000  0.003167  153  
  2         4.45    -17.94  1.00000  0.003167  153  
  3         5.29    -17.91  1.00000  0.003167  153  
  4         6.04    -19.08  1.00000  0.003167  153  
  5         6.28    -15.92  1.00000  0.003167  153  
  6         6.73    -19.70  1.00000  0.003167  153  
  7         6.73    -18.94  1.00000  0.003167  153  
  8         8.29    -18.14  1.00000  0.003167  153  
  9         8.89    -19.02  1.00000  0.003167  153  
  10        9.76    -16.31  1.00000  0.003167  153  
