# LRD Data from Krishna from Kocevski et al
# Survey: NGDEEP
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  1         3.45    -20.70  1.00000
  2         3.45    -20.65  1.00000
  3         3.45    -20.60  1.00000
  4         3.45    -20.55  1.00000
  5         3.45    -20.50  1.00000
  6         3.45    -20.45  1.00000
  7         3.45    -20.40  1.00000
  8         3.45    -20.35  1.00000
  9         3.45    -20.30  1.00000
  10        3.45    -20.25  1.00000
  11        3.45    -20.20  1.00000
  12        3.45    -20.15  1.00000
  13        3.45    -20.10  1.00000
  14        3.45    -20.05  1.00000
  15        3.45    -20.00  1.00000
  16        3.45    -19.95  1.00000
  17        3.45    -19.90  1.00000
  18        3.45    -19.85  1.00000
  19        3.45    -19.80  1.00000
  20        3.45    -19.75  1.00000
  21        3.45    -19.70  1.00000
  22        3.45    -19.65  1.00000
  23        3.45    -19.60  1.00000
  24        3.45    -19.55  1.00000
  25        3.45    -19.50  1.00000
  26        3.45    -19.45  1.00000
  27        3.45    -19.40  1.00000
  28        3.45    -19.35  1.00000
  29        3.45    -19.30  1.00000
  30        3.45    -19.25  1.00000
  31        3.45    -19.20  1.00000
  32        3.45    -19.15  1.00000
  33        3.45    -19.10  1.00000
  34        3.45    -19.05  1.00000
  35        3.45    -19.00  1.00000
  36        3.45    -18.95  1.00000
  37        3.45    -18.90  1.00000
  38        3.45    -18.85  1.00000
  39        3.45    -18.80  1.00000
  40        3.45    -18.75  1.00000
  41        3.45    -18.70  1.00000
  42        3.45    -18.65  1.00000
  43        3.45    -18.60  1.00000
  44        3.45    -18.55  1.00000
  45        3.45    -18.50  1.00000
  46        3.45    -18.45  1.00000
  47        3.45    -18.40  1.00000
  48        3.45    -18.35  1.00000
  49        3.45    -18.30  1.00000
  50        3.45    -18.25  1.00000
  51        3.45    -18.20  1.00000
  52        3.45    -18.15  1.00000
  53        3.45    -18.10  1.00000
  54        3.45    -18.05  1.00000
  55        3.45    -18.00  1.00000
  56        3.45    -17.95  1.00000
  57        3.45    -17.90  1.00000
  58        3.45    -17.85  1.00000
  59        3.45    -17.80  1.00000
  60        3.45    -17.75  1.00000
  61        3.45    -17.70  1.00000
  62        3.45    -17.65  1.00000
  63        3.45    -17.60  1.00000
  64        3.45    -17.55  1.00000
  65        3.45    -17.50  1.00000
  66        3.45    -17.45  1.00000
  67        3.45    -17.40  1.00000
  68        3.45    -17.35  1.00000
  69        3.45    -17.30  1.00000
  70        3.45    -17.25  1.00000
  71        3.45    -17.20  1.00000
  72        3.45    -17.15  1.00000
  73        3.45    -17.10  1.00000
  74        3.45    -17.05  1.00000
  75        3.45    -17.00  1.00000
  76        3.45    -16.95  1.00000
  77        3.45    -16.90  1.00000
  78        3.45    -16.85  1.00000
  79        3.45    -16.80  1.00000
  80        3.45    -16.75  1.00000
  81        3.45    -16.70  1.00000
  82        3.45    -16.65  1.00000
  83        3.45    -16.60  1.00000
  84        3.45    -16.55  1.00000
  85        3.45    -16.50  1.00000
  86        3.45    -16.45  1.00000
  87        3.45    -16.40  1.00000
  88        3.45    -16.35  1.00000
  89        3.45    -16.30  1.00000
  90        3.45    -16.25  1.00000
  91        3.45    -16.20  1.00000
  92        3.45    -16.15  1.00000
  93        3.45    -16.10  1.00000
  94        3.45    -16.05  1.00000
  95        3.45    -16.00  1.00000
  96        3.45    -15.95  1.00000
  97        3.45    -15.90  1.00000
  98        3.45    -15.85  1.00000
  99        3.45    -15.80  1.00000
  100       3.45    -15.75  1.00000
  101       3.45    -15.70  1.00000
  102       3.45    -15.65  1.00000
  103       3.45    -15.60  1.00000
  104       3.45    -15.55  1.00000
  105       3.45    -15.50  1.00000
  106       3.45    -15.45  1.00000
  107       3.45    -15.40  1.00000
  108       3.45    -15.35  1.00000
  109       3.45    -15.30  1.00000
  110       3.45    -15.25  1.00000
  111       3.45    -15.20  1.00000
  112       3.45    -15.15  1.00000
  113       3.45    -15.10  1.00000
  114       3.45    -15.05  1.00000
  115       3.45    -15.00  1.00000
  116       3.45    -14.95  1.00000
  117       3.50    -20.70  1.00000
  118       3.50    -20.65  1.00000
  119       3.50    -20.60  1.00000
  120       3.50    -20.55  1.00000
  121       3.50    -20.50  1.00000
  122       3.50    -20.45  1.00000
  123       3.50    -20.40  1.00000
  124       3.50    -20.35  1.00000
  125       3.50    -20.30  1.00000
  126       3.50    -20.25  1.00000
  127       3.50    -20.20  1.00000
  128       3.50    -20.15  1.00000
  129       3.50    -20.10  1.00000
  130       3.50    -20.05  1.00000
  131       3.50    -20.00  1.00000
  132       3.50    -19.95  1.00000
  133       3.50    -19.90  1.00000
  134       3.50    -19.85  1.00000
  135       3.50    -19.80  1.00000
  136       3.50    -19.75  1.00000
  137       3.50    -19.70  1.00000
  138       3.50    -19.65  1.00000
  139       3.50    -19.60  1.00000
  140       3.50    -19.55  1.00000
  141       3.50    -19.50  1.00000
  142       3.50    -19.45  1.00000
  143       3.50    -19.40  1.00000
  144       3.50    -19.35  1.00000
  145       3.50    -19.30  1.00000
  146       3.50    -19.25  1.00000
  147       3.50    -19.20  1.00000
  148       3.50    -19.15  1.00000
  149       3.50    -19.10  1.00000
  150       3.50    -19.05  1.00000
  151       3.50    -19.00  1.00000
  152       3.50    -18.95  1.00000
  153       3.50    -18.90  1.00000
  154       3.50    -18.85  1.00000
  155       3.50    -18.80  1.00000
  156       3.50    -18.75  1.00000
  157       3.50    -18.70  1.00000
  158       3.50    -18.65  1.00000
  159       3.50    -18.60  1.00000
  160       3.50    -18.55  1.00000
  161       3.50    -18.50  1.00000
  162       3.50    -18.45  1.00000
  163       3.50    -18.40  1.00000
  164       3.50    -18.35  1.00000
  165       3.50    -18.30  1.00000
  166       3.50    -18.25  1.00000
  167       3.50    -18.20  1.00000
  168       3.50    -18.15  1.00000
  169       3.50    -18.10  1.00000
  170       3.50    -18.05  1.00000
  171       3.50    -18.00  1.00000
  172       3.50    -17.95  1.00000
  173       3.50    -17.90  1.00000
  174       3.50    -17.85  1.00000
  175       3.50    -17.80  1.00000
  176       3.50    -17.75  1.00000
  177       3.50    -17.70  1.00000
  178       3.50    -17.65  1.00000
  179       3.50    -17.60  1.00000
  180       3.50    -17.55  1.00000
  181       3.50    -17.50  1.00000
  182       3.50    -17.45  1.00000
  183       3.50    -17.40  1.00000
  184       3.50    -17.35  1.00000
  185       3.50    -17.30  1.00000
  186       3.50    -17.25  1.00000
  187       3.50    -17.20  1.00000
  188       3.50    -17.15  1.00000
  189       3.50    -17.10  1.00000
  190       3.50    -17.05  1.00000
  191       3.50    -17.00  1.00000
  192       3.50    -16.95  1.00000
  193       3.50    -16.90  1.00000
  194       3.50    -16.85  1.00000
  195       3.50    -16.80  1.00000
  196       3.50    -16.75  1.00000
  197       3.50    -16.70  1.00000
  198       3.50    -16.65  1.00000
  199       3.50    -16.60  1.00000
  200       3.50    -16.55  1.00000
  201       3.50    -16.50  1.00000
  202       3.50    -16.45  1.00000
  203       3.50    -16.40  1.00000
  204       3.50    -16.35  1.00000
  205       3.50    -16.30  1.00000
  206       3.50    -16.25  1.00000
  207       3.50    -16.20  1.00000
  208       3.50    -16.15  1.00000
  209       3.50    -16.10  1.00000
  210       3.50    -16.05  1.00000
  211       3.50    -16.00  1.00000
  212       3.50    -15.95  1.00000
  213       3.50    -15.90  1.00000
  214       3.50    -15.85  1.00000
  215       3.50    -15.80  1.00000
  216       3.50    -15.75  1.00000
  217       3.50    -15.70  1.00000
  218       3.50    -15.65  1.00000
  219       3.50    -15.60  1.00000
  220       3.50    -15.55  1.00000
  221       3.50    -15.50  1.00000
  222       3.50    -15.45  1.00000
  223       3.50    -15.40  1.00000
  224       3.50    -15.35  1.00000
  225       3.50    -15.30  1.00000
  226       3.50    -15.25  1.00000
  227       3.50    -15.20  1.00000
  228       3.50    -15.15  1.00000
  229       3.50    -15.10  1.00000
  230       3.50    -15.05  1.00000
  231       3.50    -15.00  1.00000
  232       3.50    -14.95  1.00000
  233       3.55    -20.70  1.00000
  234       3.55    -20.65  1.00000
  235       3.55    -20.60  1.00000
  236       3.55    -20.55  1.00000
  237       3.55    -20.50  1.00000
  238       3.55    -20.45  1.00000
  239       3.55    -20.40  1.00000
  240       3.55    -20.35  1.00000
  241       3.55    -20.30  1.00000
  242       3.55    -20.25  1.00000
  243       3.55    -20.20  1.00000
  244       3.55    -20.15  1.00000
  245       3.55    -20.10  1.00000
  246       3.55    -20.05  1.00000
  247       3.55    -20.00  1.00000
  248       3.55    -19.95  1.00000
  249       3.55    -19.90  1.00000
  250       3.55    -19.85  1.00000
  251       3.55    -19.80  1.00000
  252       3.55    -19.75  1.00000
  253       3.55    -19.70  1.00000
  254       3.55    -19.65  1.00000
  255       3.55    -19.60  1.00000
  256       3.55    -19.55  1.00000
  257       3.55    -19.50  1.00000
  258       3.55    -19.45  1.00000
  259       3.55    -19.40  1.00000
  260       3.55    -19.35  1.00000
  261       3.55    -19.30  1.00000
  262       3.55    -19.25  1.00000
  263       3.55    -19.20  1.00000
  264       3.55    -19.15  1.00000
  265       3.55    -19.10  1.00000
  266       3.55    -19.05  1.00000
  267       3.55    -19.00  1.00000
  268       3.55    -18.95  1.00000
  269       3.55    -18.90  1.00000
  270       3.55    -18.85  1.00000
  271       3.55    -18.80  1.00000
  272       3.55    -18.75  1.00000
  273       3.55    -18.70  1.00000
  274       3.55    -18.65  1.00000
  275       3.55    -18.60  1.00000
  276       3.55    -18.55  1.00000
  277       3.55    -18.50  1.00000
  278       3.55    -18.45  1.00000
  279       3.55    -18.40  1.00000
  280       3.55    -18.35  1.00000
  281       3.55    -18.30  1.00000
  282       3.55    -18.25  1.00000
  283       3.55    -18.20  1.00000
  284       3.55    -18.15  1.00000
  285       3.55    -18.10  1.00000
  286       3.55    -18.05  1.00000
  287       3.55    -18.00  1.00000
  288       3.55    -17.95  1.00000
  289       3.55    -17.90  1.00000
  290       3.55    -17.85  1.00000
  291       3.55    -17.80  1.00000
  292       3.55    -17.75  1.00000
  293       3.55    -17.70  1.00000
  294       3.55    -17.65  1.00000
