# LRD Data from Krishna from Kocevski et al
# Survey: PRIMER-COS
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         4.33    -17.93  1.00000  0.038583  154  
  2         4.51    -19.81  1.00000  0.038583  154  
  3         4.54    -19.98  1.00000  0.038583  154  
  4         4.63    -18.45  1.00000  0.038583  154  
  5         4.63    -17.58  1.00000  0.038583  154  
  6         4.66    -23.71  1.00000  0.038583  154  
  7         4.66    -17.32  1.00000  0.038583  154  
  8         4.69    -19.57  1.00000  0.038583  154  
  9         4.69    -17.56  1.00000  0.038583  154  
  10        4.69    -17.56  1.00000  0.038583  154  
  11        4.72    -18.31  1.00000  0.038583  154  
  12        4.72    -18.30  1.00000  0.038583  154  
  13        4.72    -16.81  1.00000  0.038583  154  
  14        4.93    -17.68  1.00000  0.038583  154  
  15        5.14    -18.20  1.00000  0.038583  154  
  16        5.17    -19.63  1.00000  0.038583  154  
  17        5.17    -18.69  1.00000  0.038583  154  
  18        5.17    -18.29  1.00000  0.038583  154  
  19        5.17    -18.03  1.00000  0.038583  154  
  20        5.17    -17.71  1.00000  0.038583  154  
  21        5.20    -19.82  1.00000  0.038583  154  
  22        5.20    -18.30  1.00000  0.038583  154  
  23        5.20    -17.38  1.00000  0.038583  154  
  24        5.23    -18.72  1.00000  0.038583  154  
  25        5.23    -17.98  1.00000  0.038583  154  
  26        5.23    -17.77  1.00000  0.038583  154  
  27        5.26    -19.20  1.00000  0.038583  154  
  28        5.29    -20.61  1.00000  0.038583  154  
  29        5.32    -17.41  1.00000  0.038583  154  
  30        5.35    -18.17  1.00000  0.038583  154  
  31        5.38    -18.18  1.00000  0.038583  154  
  32        5.44    -18.51  1.00000  0.038583  154  
  33        5.47    -19.45  1.00000  0.038583  154  
  34        5.47    -18.45  1.00000  0.038583  154  
  35        5.56    -17.92  1.00000  0.038583  154  
  36        5.74    -18.18  1.00000  0.038583  154  
  37        5.77    -18.45  1.00000  0.038583  154  
  38        5.80    -19.41  1.00000  0.038583  154  
  39        5.86    -20.02  1.00000  0.038583  154  
  40        5.98    -19.26  1.00000  0.038583  154  
  41        6.01    -20.45  1.00000  0.038583  154  
  42        6.04    -18.76  1.00000  0.038583  154  
  43        6.10    -16.52  1.00000  0.038583  154  
  44        6.22    -16.22  1.00000  0.038583  154  
  45        6.28    -19.43  1.00000  0.038583  154  
  46        6.34    -17.63  1.00000  0.038583  154  
  47        6.37    -19.98  1.00000  0.038583  154  
  48        6.37    -19.20  1.00000  0.038583  154  
  49        6.37    -17.74  1.00000  0.038583  154  
  50        6.40    -17.98  1.00000  0.038583  154  
  51        6.43    -20.80  1.00000  0.038583  154  
  52        6.43    -19.07  1.00000  0.038583  154  
  53        6.43    -18.67  1.00000  0.038583  154  
  54        6.43    -18.14  1.00000  0.038583  154  
  55        6.49    -18.96  1.00000  0.038583  154  
  56        6.49    -18.02  1.00000  0.038583  154  
  57        6.52    -19.83  1.00000  0.038583  154  
  58        6.52    -18.16  1.00000  0.038583  154  
  59        6.67    -17.96  1.00000  0.038583  154  
  60        6.94    -18.88  1.00000  0.038583  154  
  61        7.03    -19.25  1.00000  0.038583  154  
  62        7.06    -21.82  1.00000  0.038583  154  
  63        7.39    -19.52  1.00000  0.038583  154  
  64        7.45    -19.46  1.00000  0.038583  154  
  65        7.45    -18.62  1.00000  0.038583  154  
  66        7.45    -18.29  1.00000  0.038583  154  
  67        7.45    -17.96  1.00000  0.038583  154  
  68        7.45    -17.47  1.00000  0.038583  154  
  69        7.48    -17.66  1.00000  0.038583  154  
  70        7.93    -19.40  1.00000  0.038583  154  
  71        8.20    -19.70  1.00000  0.038583  154  
  72        8.56    -20.00  1.00000  0.038583  154  
  73        8.56    -19.64  1.00000  0.038583  154  
  74        9.04    -18.53  1.00000  0.038583  154  
  75        9.16    -18.95  1.00000  0.038583  154  
  76        9.31    -18.41  1.00000  0.038583  154  
  77        9.79    -19.31  1.00000  0.038583  154  
  78        10.45   -20.12  1.00000  0.038583  154  
  79        10.60   -18.84  1.00000  0.038583  154  
  80        10.69   -17.58  1.00000  0.038583  154  
  81        11.92   -18.85  1.00000  0.038583  154  
