# LRD Data from Krishna from Kocevski et al
# Survey: PRIMER-COS
# The value or p is taken to be 1 for now
# counter   z       M1450   p
  1         3.33    -24.71  1.00000
  2         3.33    -24.66  1.00000
  3         3.33    -24.61  1.00000
  4         3.33    -24.56  1.00000
  5         3.33    -24.51  1.00000
  6         3.33    -24.46  1.00000
  7         3.33    -24.41  1.00000
  8         3.33    -24.36  1.00000
  9         3.33    -24.31  1.00000
  10        3.33    -24.26  1.00000
  11        3.33    -24.21  1.00000
  12        3.33    -24.16  1.00000
  13        3.33    -24.11  1.00000
  14        3.33    -24.06  1.00000
  15        3.33    -24.01  1.00000
  16        3.33    -23.96  1.00000
  17        3.33    -23.91  1.00000
  18        3.33    -23.86  1.00000
  19        3.33    -23.81  1.00000
  20        3.33    -23.76  1.00000
  21        3.33    -23.71  1.00000
  22        3.33    -23.66  1.00000
  23        3.33    -23.61  1.00000
  24        3.33    -23.56  1.00000
  25        3.33    -23.51  1.00000
  26        3.33    -23.46  1.00000
  27        3.33    -23.41  1.00000
  28        3.33    -23.36  1.00000
  29        3.33    -23.31  1.00000
  30        3.33    -23.26  1.00000
  31        3.33    -23.21  1.00000
  32        3.33    -23.16  1.00000
  33        3.33    -23.11  1.00000
  34        3.33    -23.06  1.00000
  35        3.33    -23.01  1.00000
  36        3.33    -22.96  1.00000
  37        3.33    -22.91  1.00000
  38        3.33    -22.86  1.00000
  39        3.33    -22.81  1.00000
  40        3.33    -22.76  1.00000
  41        3.33    -22.71  1.00000
  42        3.33    -22.66  1.00000
  43        3.33    -22.61  1.00000
  44        3.33    -22.56  1.00000
  45        3.33    -22.51  1.00000
  46        3.33    -22.46  1.00000
  47        3.33    -22.41  1.00000
  48        3.33    -22.36  1.00000
  49        3.33    -22.31  1.00000
  50        3.33    -22.26  1.00000
  51        3.33    -22.21  1.00000
  52        3.33    -22.16  1.00000
  53        3.33    -22.11  1.00000
  54        3.33    -22.06  1.00000
  55        3.33    -22.01  1.00000
  56        3.33    -21.96  1.00000
  57        3.33    -21.91  1.00000
  58        3.33    -21.86  1.00000
  59        3.33    -21.81  1.00000
  60        3.33    -21.76  1.00000
  61        3.33    -21.71  1.00000
  62        3.33    -21.66  1.00000
  63        3.33    -21.61  1.00000
  64        3.33    -21.56  1.00000
  65        3.33    -21.51  1.00000
  66        3.33    -21.46  1.00000
  67        3.33    -21.41  1.00000
  68        3.33    -21.36  1.00000
  69        3.33    -21.31  1.00000
  70        3.33    -21.26  1.00000
  71        3.33    -21.21  1.00000
  72        3.33    -21.16  1.00000
  73        3.33    -21.11  1.00000
  74        3.33    -21.06  1.00000
  75        3.33    -21.01  1.00000
  76        3.33    -20.96  1.00000
  77        3.33    -20.91  1.00000
  78        3.33    -20.86  1.00000
  79        3.33    -20.81  1.00000
  80        3.33    -20.76  1.00000
  81        3.33    -20.71  1.00000
  82        3.33    -20.66  1.00000
  83        3.33    -20.61  1.00000
  84        3.33    -20.56  1.00000
  85        3.33    -20.51  1.00000
  86        3.33    -20.46  1.00000
  87        3.33    -20.41  1.00000
  88        3.33    -20.36  1.00000
  89        3.33    -20.31  1.00000
  90        3.33    -20.26  1.00000
  91        3.33    -20.21  1.00000
  92        3.33    -20.16  1.00000
  93        3.33    -20.11  1.00000
  94        3.33    -20.06  1.00000
  95        3.33    -20.01  1.00000
  96        3.33    -19.96  1.00000
  97        3.33    -19.91  1.00000
  98        3.33    -19.86  1.00000
  99        3.33    -19.81  1.00000
  100       3.33    -19.76  1.00000
  101       3.33    -19.71  1.00000
  102       3.33    -19.66  1.00000
  103       3.33    -19.61  1.00000
  104       3.33    -19.56  1.00000
  105       3.33    -19.51  1.00000
  106       3.33    -19.46  1.00000
  107       3.33    -19.41  1.00000
  108       3.33    -19.36  1.00000
  109       3.33    -19.31  1.00000
  110       3.33    -19.26  1.00000
  111       3.33    -19.21  1.00000
  112       3.33    -19.16  1.00000
  113       3.33    -19.11  1.00000
  114       3.33    -19.06  1.00000
  115       3.33    -19.01  1.00000
  116       3.33    -18.96  1.00000
  117       3.33    -18.91  1.00000
  118       3.33    -18.86  1.00000
  119       3.33    -18.81  1.00000
  120       3.33    -18.76  1.00000
  121       3.33    -18.71  1.00000
  122       3.33    -18.66  1.00000
  123       3.33    -18.61  1.00000
  124       3.33    -18.56  1.00000
  125       3.33    -18.51  1.00000
  126       3.33    -18.46  1.00000
  127       3.33    -18.41  1.00000
  128       3.33    -18.36  1.00000
  129       3.33    -18.31  1.00000
  130       3.33    -18.26  1.00000
  131       3.33    -18.21  1.00000
  132       3.33    -18.16  1.00000
  133       3.33    -18.11  1.00000
  134       3.33    -18.06  1.00000
  135       3.33    -18.01  1.00000
  136       3.33    -17.96  1.00000
  137       3.33    -17.91  1.00000
  138       3.33    -17.86  1.00000
  139       3.33    -17.81  1.00000
  140       3.33    -17.76  1.00000
  141       3.33    -17.71  1.00000
  142       3.33    -17.66  1.00000
  143       3.33    -17.61  1.00000
  144       3.33    -17.56  1.00000
  145       3.33    -17.51  1.00000
  146       3.33    -17.46  1.00000
  147       3.33    -17.41  1.00000
  148       3.33    -17.36  1.00000
  149       3.33    -17.31  1.00000
  150       3.33    -17.26  1.00000
  151       3.33    -17.21  1.00000
  152       3.33    -17.16  1.00000
  153       3.33    -17.11  1.00000
  154       3.33    -17.06  1.00000
  155       3.33    -17.01  1.00000
  156       3.33    -16.96  1.00000
  157       3.33    -16.91  1.00000
  158       3.33    -16.86  1.00000
  159       3.33    -16.81  1.00000
  160       3.33    -16.76  1.00000
  161       3.33    -16.71  1.00000
  162       3.33    -16.66  1.00000
  163       3.33    -16.61  1.00000
  164       3.33    -16.56  1.00000
  165       3.33    -16.51  1.00000
  166       3.33    -16.46  1.00000
  167       3.33    -16.41  1.00000
  168       3.33    -16.36  1.00000
  169       3.33    -16.31  1.00000
  170       3.33    -16.26  1.00000
  171       3.33    -16.21  1.00000
  172       3.33    -16.16  1.00000
  173       3.33    -16.11  1.00000
  174       3.33    -16.06  1.00000
  175       3.33    -16.01  1.00000
  176       3.33    -15.96  1.00000
  177       3.33    -15.91  1.00000
  178       3.33    -15.86  1.00000
  179       3.33    -15.81  1.00000
  180       3.33    -15.76  1.00000
  181       3.33    -15.71  1.00000
  182       3.33    -15.66  1.00000
  183       3.33    -15.61  1.00000
  184       3.33    -15.56  1.00000
  185       3.33    -15.51  1.00000
  186       3.33    -15.46  1.00000
  187       3.33    -15.41  1.00000
  188       3.33    -15.36  1.00000
  189       3.33    -15.31  1.00000
  190       3.33    -15.26  1.00000
  191       3.38    -24.71  1.00000
  192       3.38    -24.66  1.00000
  193       3.38    -24.61  1.00000
  194       3.38    -24.56  1.00000
  195       3.38    -24.51  1.00000
  196       3.38    -24.46  1.00000
  197       3.38    -24.41  1.00000
  198       3.38    -24.36  1.00000
  199       3.38    -24.31  1.00000
  200       3.38    -24.26  1.00000
  201       3.38    -24.21  1.00000
  202       3.38    -24.16  1.00000
  203       3.38    -24.11  1.00000
  204       3.38    -24.06  1.00000
  205       3.38    -24.01  1.00000
  206       3.38    -23.96  1.00000
  207       3.38    -23.91  1.00000
  208       3.38    -23.86  1.00000
  209       3.38    -23.81  1.00000
  210       3.38    -23.76  1.00000
  211       3.38    -23.71  1.00000
  212       3.38    -23.66  1.00000
  213       3.38    -23.61  1.00000
  214       3.38    -23.56  1.00000
