# LRD Data from Krishna from Kocevski et al
# Survey: PRIMER-UDS
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         2.44    -17.75  1.00000  0.067500  155  
  2         2.44    -15.88  1.00000  0.067500  155  
  3         2.80    -17.88  1.00000  0.067500  155  
  4         3.10    -18.09  1.00000  0.067500  155  
  5         3.50    -16.77  1.00000  0.067500  155  
  6         3.52    -17.61  1.00000  0.067500  155  
  7         3.82    -18.44  1.00000  0.067500  155  
  8         3.91    -17.39  1.00000  0.067500  155  
  9         4.36    -20.59  1.00000  0.067500  155  
  10        4.36    -19.03  1.00000  0.067500  155  
  11        4.39    -19.49  1.00000  0.067500  155  
  12        4.42    -18.98  1.00000  0.067500  155  
  13        4.45    -19.07  1.00000  0.067500  155  
  14        4.48    -19.55  1.00000  0.067500  155  
  15        4.51    -19.55  1.00000  0.067500  155  
  16        4.51    -17.73  1.00000  0.067500  155  
  17        4.57    -18.10  1.00000  0.067500  155  
  18        4.60    -19.67  1.00000  0.067500  155  
  19        4.63    -20.29  1.00000  0.067500  155  
  20        4.63    -19.24  1.00000  0.067500  155  
  21        4.66    -18.61  1.00000  0.067500  155  
  22        4.69    -18.27  1.00000  0.067500  155  
  23        4.69    -17.97  1.00000  0.067500  155  
  24        4.72    -18.92  1.00000  0.067500  155  
  25        4.75    -18.71  1.00000  0.067500  155  
  26        4.99    -17.64  1.00000  0.067500  155  
  27        5.05    -18.34  1.00000  0.067500  155  
  28        5.17    -19.01  1.00000  0.067500  155  
  29        5.17    -18.96  1.00000  0.067500  155  
  30        5.17    -18.17  1.00000  0.067500  155  
  31        5.17    -17.26  1.00000  0.067500  155  
  32        5.20    -19.40  1.00000  0.067500  155  
  33        5.20    -18.53  1.00000  0.067500  155  
  34        5.20    -18.21  1.00000  0.067500  155  
  35        5.20    -17.91  1.00000  0.067500  155  
  36        5.20    -17.74  1.00000  0.067500  155  
  37        5.20    -17.27  1.00000  0.067500  155  
  38        5.23    -18.63  1.00000  0.067500  155  
  39        5.23    -17.70  1.00000  0.067500  155  
  40        5.26    -18.26  1.00000  0.067500  155  
  41        5.26    -16.87  1.00000  0.067500  155  
  42        5.29    -18.59  1.00000  0.067500  155  
  43        5.36    -17.81  1.00000  0.067500  155  
  44        5.38    -19.37  1.00000  0.067500  155  
  45        5.38    -18.54  1.00000  0.067500  155  
  46        5.38    -18.16  1.00000  0.067500  155  
  47        5.41    -18.50  1.00000  0.067500  155  
  48        5.44    -16.86  1.00000  0.067500  155  
  49        5.47    -19.65  1.00000  0.067500  155  
  50        5.47    -17.57  1.00000  0.067500  155  
  51        5.68    -19.72  1.00000  0.067500  155  
  52        5.74    -19.20  1.00000  0.067500  155  
  53        5.77    -20.01  1.00000  0.067500  155  
  54        5.77    -18.97  1.00000  0.067500  155  
  55        5.80    -20.00  1.00000  0.067500  155  
  56        5.83    -19.09  1.00000  0.067500  155  
  57        5.83    -18.66  1.00000  0.067500  155  
  58        5.89    -19.47  1.00000  0.067500  155  
  59        5.92    -18.81  1.00000  0.067500  155  
  60        6.04    -17.65  1.00000  0.067500  155  
  61        6.13    -18.93  1.00000  0.067500  155  
  62        6.17    -18.06  1.00000  0.067500  155  
  63        6.34    -19.21  1.00000  0.067500  155  
  64        6.37    -19.87  1.00000  0.067500  155  
  65        6.37    -19.00  1.00000  0.067500  155  
  66        6.40    -19.15  1.00000  0.067500  155  
  67        6.40    -18.79  1.00000  0.067500  155  
  68        6.40    -18.33  1.00000  0.067500  155  
  69        6.43    -19.36  1.00000  0.067500  155  
  70        6.43    -19.36  1.00000  0.067500  155  
  71        6.52    -17.65  1.00000  0.067500  155  
  72        6.55    -18.01  1.00000  0.067500  155  
