# LRD Data from Krishna from Kocevski et al
# Survey: UNCOVER
# The value or p is taken to be 1 for now
# counter   z       M1450   p        area      sample
  1         3.25    -18.47  1.00000  0.012167  156  
  2         3.82    -16.30  1.00000  0.012167  156  
  3         3.97    -18.15  1.00000  0.012167  156  
  4         4.36    -19.65  1.00000  0.012167  156  
  5         4.75    -19.65  1.00000  0.012167  156  
  6         4.96    -19.05  1.00000  0.012167  156  
  7         5.05    -18.98  1.00000  0.012167  156  
  8         5.17    -16.77  1.00000  0.012167  156  
  9         5.71    -18.53  1.00000  0.012167  156  
  10        5.71    -16.88  1.00000  0.012167  156  
  11        5.84    -18.49  1.00000  0.012167  156  
  12        6.01    -18.28  1.00000  0.012167  156  
  13        6.34    -18.63  1.00000  0.012167  156  
  14        6.74    -18.93  1.00000  0.012167  156  
  15        6.76    -19.41  1.00000  0.012167  156  
  16        6.79    -19.82  1.00000  0.012167  156  
  17        7.04    -18.72  1.00000  0.012167  156  
  18        7.04    -17.69  1.00000  0.012167  156  
  19        7.54    -18.65  1.00000  0.012167  156  
  20        8.50    -18.18  1.00000  0.012167  156  
  21        8.65    -21.85  1.00000  0.012167  156  
  22        9.04    -19.79  1.00000  0.012167  156  
  23        9.13    -19.13  1.00000  0.012167  156  
