# The data points with bad points for the QLF at different redshift bins are given here.
# badness 1 implies the points are the bad points. 
# The columns are as follows:
# zmin   zmax   label                     badness   bad_prob   mag       mag_err    logphi    map_log_phi   uperr    downerr   log_err  residual   sig_dif   prob
  0.10   0.40   Richards et al. 2006            0     0.090    -24.600   0.300      -8.336       -8.063     0.295    0.341     0.318    -0.273     -0.858    3.908e-01
  0.10   0.40   Richards et al. 2006            0     0.031    -24.000   0.300      -7.592       -7.662     0.101    0.103     0.102     0.070      0.688    4.916e-01
  0.10   0.40   Richards et al. 2006            0     0.138    -23.400   0.300      -7.142       -7.263     0.054    0.054     0.054     0.120      2.220    2.640e-02
  0.10   0.40   Richards et al. 2006            0     0.640    -22.800   0.300      -6.761       -6.872     0.034    0.034     0.034     0.111      3.272    1.067e-03
  0.10   0.40   Richards et al. 2006            0     0.008    -22.200   0.300      -6.494       -6.514     0.023    0.023     0.023     0.021      0.917    3.593e-01
  0.10   0.40   Richards et al. 2006            1     1.000    -21.600   0.300      -6.080       -6.254     0.015    0.015     0.015     0.175     11.288    0.000e+00
  0.10   0.40   Richards et al. 2006            1     1.000    -21.000   0.300      -5.966       -6.177     0.012    0.012     0.012     0.211     17.642    0.000e+00
  0.10   0.40   Richards et al. 2006            1     1.000    -20.400   0.300      -6.001       -6.266     0.016    0.016     0.016     0.265     17.024    0.000e+00
  0.10   0.40   Richards et al. 2006            1     0.988    -19.800   0.300      -8.747       -6.432     0.518    0.763     0.641    -2.315     -3.614    3.020e-04
  0.40   0.60   Richards et al. 2006            0     0.000    -25.200   0.300      -8.258       -8.043     0.134    0.139     0.136    -0.215     -1.575    1.152e-01
  0.40   0.60   Richards et al. 2006            0     0.001    -24.600   0.300      -7.565       -7.541     0.057    0.058     0.058    -0.024     -0.416    6.776e-01
  0.40   0.60   Richards et al. 2006            0     0.004    -24.000   0.300      -7.091       -7.075     0.033    0.033     0.033    -0.015     -0.469    6.392e-01
  0.40   0.60   Richards et al. 2006            0     0.037    -23.400   0.300      -6.713       -6.675     0.021    0.021     0.021    -0.038     -1.823    6.828e-02
  0.40   0.60   Richards et al. 2006            0     0.013    -22.800   0.300      -6.379       -6.368     0.014    0.014     0.014    -0.011     -0.756    4.499e-01
  0.40   0.60   Richards et al. 2006            0     0.046    -22.200   0.300      -6.169       -6.149     0.011    0.011     0.011    -0.020     -1.773    7.628e-02
  0.40   0.60   Richards et al. 2006            1     1.000    -21.600   0.300      -6.117       -5.987     0.014    0.014     0.014    -0.130     -9.056    1.348e-19
  0.40   0.60   Richards et al. 2006            1     1.000    -21.000   0.300      -6.329       -5.853     0.040    0.040     0.040    -0.476    -12.026    2.588e-33
  0.40   0.60   Croom et al. 2009               0     0.111    -23.400   0.300      -6.550       -6.675     0.187    0.200     0.193     0.126      0.650    5.157e-01
  0.40   0.60   Croom et al. 2009               0     0.088    -22.800   0.300      -6.463       -6.368     0.091    0.092     0.091    -0.095     -1.040    2.982e-01
  0.40   0.60   Croom et al. 2009               0     0.378    -22.200   0.300      -6.009       -6.149     0.065    0.066     0.066     0.140      2.130    3.321e-02
  0.40   0.60   Croom et al. 2009               1     1.000    -21.600   0.300      -5.692       -5.987     0.049    0.049     0.049     0.295      6.015    1.797e-09
  0.40   0.60   Croom et al. 2009               0     0.051    -21.000   0.300      -5.829       -5.853     0.051    0.051     0.051     0.024      0.481    6.307e-01
  0.40   0.60   Croom et al. 2009               1     0.994    -20.400   0.300      -5.536       -5.732     0.047    0.047     0.047     0.196      4.131    3.614e-05
  0.40   0.60   Croom et al. 2009               0     0.050    -19.800   0.300      -5.606       -5.616     0.067    0.067     0.067     0.009      0.140    8.886e-01
