# The parameters of the QLF with bad points are given here.
# The columns are as follows:
#                   Values                                |                       Credibility Interval
# zmean   |   phi_star     M_star     alpha     beta      |           phi_star              M_star             alpha             beta    
  0.3041  |   -5.7304      -21.4355   -2.8247   -0.4606   |       -5.8459 -5.6844     -21.8045 -21.2260   -3.0545 -2.6874   -0.8739 -0.2264
  0.4996  |   -6.3040      -23.2411   -3.2719   -1.5160   |       -6.5559 -6.0089     -23.6707 -22.6371   -3.6062 -2.9146   -1.7272 -1.2779
  0.6990  |   -6.9128      -24.7353   -3.9537   -2.0269   |       -7.1411 -6.3709     -25.0266 -23.9482   -4.4607 -3.3619   -2.1533 -1.7921
  0.9016  |   -6.5104      -24.6939   -3.7193   -1.8216   |       -6.7223 -6.3179     -24.9861 -24.3957   -3.9857 -3.4817   -1.9927 -1.7008
  1.1024  |   -6.2432      -24.7354   -3.6667   -1.6763   |       -6.3694 -6.1066     -24.9199 -24.5188   -3.8300 -3.5116   -1.7554 -1.5736
  1.2984  |   -6.2229      -24.9927   -3.5806   -1.7160   |       -6.3566 -6.0567     -25.1950 -24.7258   -3.7420 -3.4214   -1.8086 -1.4800
  1.5023  |   -6.2234      -25.2777   -3.7410   -1.7043   |       -6.3601 -6.0917     -25.4696 -25.0776   -3.9172 -3.5925   -1.7948 -1.6026
  1.7006  |   -6.2114      -25.4703   -3.7775   -1.6440   |       -6.2915 -6.1281     -25.5908 -25.3429   -3.9070 -3.6559   -1.6996 -1.5850
  1.9764  |   -6.3405      -25.7829   -3.7089   -1.8252   |       -6.5844 -6.0589     -26.1124 -25.3737   -3.9395 -3.4962   -1.9973 -1.5377
  2.3024  |   -5.9121      -25.0222   -2.9577   -1.4403   |       -6.0695 -5.7187     -25.3403 -24.5637   -3.1775 -2.7510   -1.5407 -1.2967
  2.4457  |   -6.3297      -25.7668   -3.3979   -1.5208   |       -6.6838 -6.0166     -26.3253 -25.1234   -4.1108 -2.9172   -1.8017 -1.2630
  2.5479  |   -6.2471      -25.4664   -3.1811   -1.5679   |       -6.7700 -5.7404     -26.3248 -24.3593   -4.0411 -2.6912   -1.9122 -0.7042
  2.6454  |   -5.7793      -24.6235   -2.7774   -0.5500   |       -5.8496 -5.7265     -24.8452 -24.4242   -2.9342 -2.6413   -0.7499 -0.3351
  2.7456  |   -6.1249      -25.6370   -3.3799   -1.1371   |       -6.2526 -5.9930     -25.8995 -25.2936   -3.8166 -2.9989   -1.2690 -0.9712
  2.8502  |   -6.1557      -25.5905   -2.8487   -1.2110   |       -6.3989 -5.9043     -26.1406 -24.8072   -3.4228 -2.4322   -1.4005 -0.9202
  2.9502  |   -6.6408      -26.3914   -3.5292   -1.6310   |       -6.8445 -6.2061     -26.7250 -25.4461   -4.6034 -2.6645   -1.7429 -1.4093
  3.0502  |   -6.6168      -26.2690   -3.9826   -1.5576   |       -6.7435 -6.4692     -26.4713 -26.0000   -4.5743 -3.4675   -1.6528 -1.4460
  3.1485  |   -6.4057      -25.7070   -2.8463   -1.4335   |       -6.9410 -5.9908     -26.7215 -24.5639   -3.6352 -2.4240   -1.7579 -0.9572
  3.2461  |   -7.4150      -27.4710   -3.3915   -1.8927   |       -8.4186 -6.3033     -29.7428 -24.9388   -5.1311 -2.1935   -1.9856 -1.6737
  3.3421  |   -7.6898      -27.7741   -3.4324   -2.0374   |       -8.9463 -5.6585     -30.4397 -23.4726   -5.6025 -2.2289   -2.1396 -1.6569
  3.4424  |   -6.7494      -26.6641   -3.1878   -1.2416   |       -7.3555 -6.3844     -27.8734 -25.5363   -4.6019 -2.2215   -1.6208 -0.7246
  3.8699  |   -7.9266      -27.3269   -5.0638   -1.9264   |       -8.0577 -7.7897     -27.4783 -27.1559   -5.6358 -4.5358   -2.0473 -1.7904
  4.3440  |   -8.1030      -27.0922   -3.6011   -2.3035   |       -8.6577 -6.6115     -27.7915 -24.9947   -4.5224 -3.0521   -2.4152 -2.1056
  4.9234  |   -8.9258      -27.7883   -3.8872   -2.4043   |       -10.4033 -7.4414     -29.8472 -25.6494   -5.3281 -2.8194   -2.5278 -2.1965
  5.9996  |  -11.7708      -31.0159   -5.5310   -2.4391   |       -12.2049 -11.2768     -31.6938 -30.2127   -6.5377 -4.5007   -2.5273 -2.3490
  7.0517  |  -10.2657      -29.0458   -5.3537   -1.6226   |       -11.8341 -8.9654     -30.9914 -26.9225   -6.4646 -4.3842   -2.9099 -0.5343
