# The parameters of the QLF with bad points are given here.
# The columns are as follows:
#                   Values                                |                       Credibility Interval
# zmean   |   phi_star     M_star     alpha     beta      |           phi_star              M_star             alpha             beta    
  0.3041  |   -5.7315      -21.4424   -2.8290   -0.4685   |       -6.0751 -5.6846     -22.2877 -21.2294   -3.1046 -2.6900   -1.5775 -0.2317
  0.4996  |   -6.3008      -23.2344   -3.2664   -1.5128   |       -6.5554 -5.9738     -23.6676 -22.5627   -3.6010 -2.8929   -1.7248 -1.2158
  0.6990  |   -6.9147      -24.7418   -3.9602   -2.0304   |       -7.1393 -6.4027     -25.0282 -24.0045   -4.4620 -3.3764   -2.1544 -1.8178
  0.9016  |   -6.5087      -24.6914   -3.7165   -1.8201   |       -6.7226 -6.3169     -24.9862 -24.3942   -3.9852 -3.4797   -1.9927 -1.6997
  1.1024  |   -6.2408      -24.7381   -3.6672   -1.6771   |       -6.3652 -6.1050     -24.9230 -24.5278   -3.8302 -3.5139   -1.7562 -1.5759
  1.2984  |   -6.2240      -24.9901   -3.5786   -1.7154   |       -6.3598 -6.0576     -25.1928 -24.7184   -3.7401 -3.4181   -1.8084 -1.4762
  1.5023  |   -6.2257      -25.2813   -3.7406   -1.7040   |       -6.3637 -6.0937     -25.4744 -25.0808   -3.9155 -3.5892   -1.7943 -1.6016
  1.7006  |   -6.2097      -25.4666   -3.7746   -1.6422   |       -6.2877 -6.1272     -25.5833 -25.3396   -3.8980 -3.6573   -1.6958 -1.5832
  1.9764  |   -6.3309      -25.7689   -3.7010   -1.8164   |       -6.5724 -6.0561     -26.0964 -25.3688   -3.9262 -3.4931   -1.9901 -1.5350
  2.3024  |   -5.9083      -25.0125   -2.9530   -1.4400   |       -6.0633 -5.7120     -25.3272 -24.5397   -3.1698 -2.7465   -1.5399 -1.2957
  2.4457  |   -6.3336      -25.7784   -3.3945   -1.5227   |       -6.6848 -6.0214     -26.3289 -25.1395   -4.0862 -2.9189   -1.8018 -1.2659
  2.5479  |   -6.3293      -25.5606   -3.2341   -1.6533   |       -6.7757 -5.7451     -26.3266 -24.3633   -4.0787 -2.6991   -1.9157 -0.7178
  2.6454  |   -5.7784      -24.6225   -2.7789   -0.5504   |       -5.8470 -5.7254     -24.8417 -24.4232   -2.9365 -2.6435   -0.7489 -0.3368
  2.7456  |   -6.1253      -25.6421   -3.3814   -1.1387   |       -6.2536 -5.9946     -25.9065 -25.3095   -3.8167 -3.0066   -1.2725 -0.9752
  2.8502  |   -6.1557      -25.5929   -2.8602   -1.2166   |       -6.3920 -5.9059     -26.1300 -24.8317   -3.4277 -2.4463   -1.4028 -0.9375
  2.9502  |   -6.6404      -26.3915   -3.5101   -1.6285   |       -6.8435 -6.2103     -26.7238 -25.4487   -4.5546 -2.6515   -1.7403 -1.4017
  3.0502  |   -6.6176      -26.2711   -3.9879   -1.5566   |       -6.7433 -6.4746     -26.4719 -26.0124   -4.5720 -3.4788   -1.6499 -1.4463
  3.1485  |   -6.3916      -25.6843   -2.8294   -1.4222   |       -6.9116 -5.9859     -26.6841 -24.5616   -3.5881 -2.4177   -1.7417 -0.9402
  3.2461  |   -7.4312      -27.5175   -3.4504   -1.8971   |       -8.4247 -6.5234     -29.8400 -25.7186   -5.2034 -2.2465   -1.9868 -1.7059
  3.3421  |   -7.7026      -27.7969   -3.4632   -2.0388   |       -8.9520 -5.7271     -30.4419 -23.6398   -5.6534 -2.2356   -2.1402 -1.6678
  3.4424  |   -6.7469      -26.6783   -3.1990   -1.2403   |       -7.3506 -6.3793     -27.9630 -25.5577   -4.5939 -2.2293   -1.6148 -0.7243
  3.8699  |   -7.9280      -27.3318   -5.0626   -1.9254   |       -8.0597 -7.7940     -27.4859 -27.1684   -5.6298 -4.5415   -2.0442 -1.7912
  4.3440  |   -8.0999      -27.0878   -3.5989   -2.3022   |       -8.6565 -6.5604     -27.7905 -24.9151   -4.5178 -3.0404   -2.4148 -2.0991
  4.9234  |   -8.9193      -27.7804   -3.8790   -2.4042   |       -10.3909 -7.3804     -29.8336 -25.5579   -5.3174 -2.8131   -2.5286 -2.1963
  5.9996  |  -11.7693      -31.0139   -5.5300   -2.4388   |       -12.2033 -11.2711     -31.6926 -30.2038   -6.5316 -4.4995   -2.5272 -2.3484
  7.0517  |  -10.2657      -29.0416   -5.3569   -1.6152   |       -11.8423 -8.9714     -30.9908 -26.8868   -6.4618 -4.3888   -2.8994 -0.5340
