# File: rhoqso_output_data
# Storing the data points and its uncertainities
# z, uzerr, lzerr, rho, rho_up, rho_low
#
# Storing the data points and its uncertainities
0.3074, 0.2074, 0.09256, 7.053e-06, 1.169e-06, 1.166e-06
0.5022, 0.1022, 0.09781, 1.139e-05, 7.387e-07, 7.286e-07
0.7172, 0.1172, 0.08278, 5.376e-05, 6.605e-06, 6.011e-06
0.9136, 0.1136, 0.08637, 8.811e-05, 1.61e-05, 1.831e-05
1.103, 0.1027, 0.09726, 8.499e-05, 7.842e-06, 7.699e-06
1.302, 0.102, 0.09799, 0.0001514, 1.889e-05, 1.968e-05
1.503, 0.1029, 0.09713, 0.0001672, 1.635e-05, 1.639e-05
1.706, 0.1056, 0.09444, 9.666e-05, 1.049e-05, 1.082e-05
1.977, 0.1774, 0.2226, 0.0003382, 2.957e-05, 2.695e-05
2.302, 0.1025, 0.09754, 8.051e-05, 1.199e-05, 1.225e-05
2.446, 0.04574, 0.05426, 5.565e-05, 9.684e-06, 1.036e-05
2.548, 0.04787, 0.05213, 2.558e-05, 5.36e-06, 5.873e-06
2.645, 0.04545, 0.05455, 9.244e-06, 1.524e-06, 1.553e-06
2.746, 0.04555, 0.05445, 1.86e-05, 3.926e-06, 4.096e-06
2.85, 0.0502, 0.0498, 2.711e-05, 6.523e-06, 7.759e-06
2.95, 0.05016, 0.04984, 7.01e-05, 1.638e-05, 1.433e-05
3.05, 0.05016, 0.04984, 6e-05, 1.679e-05, 1.609e-05
3.148, 0.04846, 0.05154, 0.0001926, 5.625e-05, 4.982e-05
3.246, 0.04611, 0.05389, 0.0001514, 4.31e-05, 4.135e-05
3.342, 0.04206, 0.05794, 0.0003469, 0.0001335, 0.0001388
3.442, 0.04243, 0.05757, 8.101e-06, 6.055e-06, 4.754e-06
3.877, 0.1767, 0.2233, 0.0001328, 7.105e-05, 6.414e-05
4.352, 0.2517, 0.3483, 0.0001703, 0.0001226, 0.0001164
4.922, 0.2219, 0.5781, 0.0001339, 6.659e-05, 6.595e-05
5.999, 0.4993, 0.5007, 3.849e-05, 1.881e-05, 2.08e-05
#
# Storing the data points and its uncertainities
0.3074, 0.2074, 0.09256, 1.121e-06, 1.689e-08, 1.802e-08
0.5022, 0.1022, 0.09781, 1.782e-06, 1.888e-08, 2.119e-08
0.7172, 0.1172, 0.08278, 4.096e-06, 9.754e-08, 1.112e-07
0.9136, 0.1136, 0.08637, 7.111e-06, 3.788e-07, 3.843e-07
1.103, 0.1027, 0.09726, 7.974e-06, 2.702e-07, 2.439e-07
1.302, 0.102, 0.09799, 1.272e-05, 7.051e-07, 7.818e-07
1.503, 0.1029, 0.09713, 1.444e-05, 5.853e-07, 6.684e-07
1.706, 0.1056, 0.09444, 1.367e-05, 5.388e-07, 5.351e-07
1.977, 0.1774, 0.2226, 2.219e-05, 9.452e-07, 9.987e-07
2.302, 0.1025, 0.09754, 1.376e-05, 5.536e-07, 5.662e-07
2.446, 0.04574, 0.05426, 9.894e-06, 4.944e-07, 5.407e-07
2.548, 0.04787, 0.05213, 7.224e-06, 5.603e-07, 5.069e-07
2.645, 0.04545, 0.05455, 4.803e-06, 2.836e-07, 3.157e-07
2.746, 0.04555, 0.05445, 6.044e-06, 4.669e-07, 4.665e-07
2.85, 0.0502, 0.0498, 6.766e-06, 7.727e-07, 7.235e-07
2.95, 0.05016, 0.04984, 9.49e-06, 9.105e-07, 9.758e-07
3.05, 0.05016, 0.04984, 8.642e-06, 1.011e-06, 1.081e-06
3.148, 0.04846, 0.05154, 1.381e-05, 1.707e-06, 1.81e-06
3.246, 0.04611, 0.05389, 1.119e-05, 1.421e-06, 1.543e-06
3.342, 0.04206, 0.05794, 1.714e-05, 4.144e-06, 3.602e-06
3.442, 0.04243, 0.05757, 2.111e-06, 8.368e-07, 9.482e-07
3.877, 0.1767, 0.2233, 5.977e-06, 1.863e-06, 1.732e-06
4.352, 0.2517, 0.3483, 5.66e-06, 2.581e-06, 2.303e-06
4.922, 0.2219, 0.5781, 3.198e-06, 9.686e-07, 9.499e-07
5.999, 0.4993, 0.5007, 7.806e-07, 2.659e-07, 2.631e-07
#
# Storing the data points and its uncertainities
0.3074, 0.2074, 0.09256, 1.547e-08, 2.123e-09, 2.092e-09
0.5022, 0.1022, 0.09781, 3.641e-08, 1.961e-09, 2.002e-09
0.7172, 0.1172, 0.08278, 1.071e-07, 2.73e-09, 2.662e-09
0.9136, 0.1136, 0.08637, 2.513e-07, 3.846e-09, 3.569e-09
1.103, 0.1027, 0.09726, 4.58e-07, 3.975e-09, 4.366e-09
1.302, 0.102, 0.09799, 7.151e-07, 7.406e-09, 7.002e-09
1.503, 0.1029, 0.09713, 9.399e-07, 8.118e-09, 8.538e-09
1.706, 0.1056, 0.09444, 1.266e-06, 1.529e-08, 1.8e-08
1.977, 0.1774, 0.2226, 1.251e-06, 1.37e-08, 1.127e-08
2.302, 0.1025, 0.09754, 1.468e-06, 1.254e-08, 1.321e-08
2.446, 0.04574, 0.05426, 1.209e-06, 1.734e-08, 1.639e-08
2.548, 0.04787, 0.05213, 1.151e-06, 1.856e-08, 1.981e-08
2.645, 0.04545, 0.05455, 1.283e-06, 2.489e-08, 2.413e-08
2.746, 0.04555, 0.05445, 1.325e-06, 2.913e-08, 3.06e-08
2.85, 0.0502, 0.0498, 1.24e-06, 2.858e-08, 3.094e-08
2.95, 0.05016, 0.04984, 1.097e-06, 2.318e-08, 2.406e-08
3.05, 0.05016, 0.04984, 1.008e-06, 1.937e-08, 1.986e-08
3.148, 0.04846, 0.05154, 8.994e-07, 2.103e-08, 1.92e-08
3.246, 0.04611, 0.05389, 7.781e-07, 1.761e-08, 1.912e-08
3.342, 0.04206, 0.05794, 8.222e-07, 3.043e-08, 3.101e-08
3.442, 0.04243, 0.05757, 5.955e-07, 5.417e-08, 5.565e-08
3.877, 0.1767, 0.2233, 2.919e-07, 3.276e-08, 3.143e-08
4.352, 0.2517, 0.3483, 1.765e-07, 2.383e-08, 2.389e-08
4.922, 0.2219, 0.5781, 8.37e-08, 7.597e-09, 7.912e-09
5.999, 0.4993, 0.5007, 1.539e-08, 1.743e-09, 1.689e-09
#
# Storing the data points and its uncertainities
0.3074, 0.2074, 0.09256, 1.333e-10, 5.442e-11, 5.291e-11
0.5022, 0.1022, 0.09781, 4.656e-11, 1.416e-11, 1.604e-11
0.7172, 0.1172, 0.08278, 1.676e-10, 5.388e-11, 4.751e-11
0.9136, 0.1136, 0.08637, 3.552e-10, 7.145e-11, 7.014e-11
1.103, 0.1027, 0.09726, 4.309e-10, 6.282e-11, 5.637e-11
1.302, 0.102, 0.09799, 1.297e-09, 1.376e-10, 1.533e-10
1.503, 0.1029, 0.09713, 1.81e-09, 1.634e-10, 1.548e-10
1.706, 0.1056, 0.09444, 3.78e-09, 2.515e-10, 2.563e-10
1.977, 0.1774, 0.2226, 6.696e-09, 2.883e-10, 2.57e-10
2.302, 0.1025, 0.09754, 1.223e-08, 1.456e-09, 1.451e-09
2.446, 0.04574, 0.05426, 1.049e-08, 1.842e-09, 1.893e-09
2.548, 0.04787, 0.05213, 9.422e-09, 1.594e-09, 1.567e-09
2.645, 0.04545, 0.05455, 1.433e-08, 2.162e-09, 1.959e-09
2.746, 0.04555, 0.05445, 1.325e-08, 2.989e-09, 2.939e-09
2.85, 0.0502, 0.0498, 2.099e-08, 5.301e-09, 5.57e-09
2.95, 0.05016, 0.04984, 7.542e-09, 2.101e-09, 1.927e-09
3.05, 0.05016, 0.04984, 7.873e-09, 1.852e-09, 2.001e-09
3.148, 0.04846, 0.05154, 1.597e-08, 3.796e-09, 3.649e-09
3.246, 0.04611, 0.05389, 1.602e-08, 3.43e-09, 4.114e-09
